road_num,Month,Day of month,Hour,Day of week,temperature,rain,atmosphere,speed_diff,time_diff,Traffic_Label
1,2,3,20,5,7,0,1,0,0,0
1,2,3,21,5,5,0,1,0,0,0
1,2,3,22,5,4,0,1,0,0,0
1,2,3,23,5,5,0,1,0,0,0
1,2,4,3,6,5,0,1,0,0,0
1,2,4,4,6,4,0,1,0,0,0
1,2,4,5,6,4,0,1,0,0,0
1,2,4,6,6,3,0,1,0,0,0
1,2,4,7,6,3,0,1,0,0,0
1,2,4,8,6,3,0,1,0,0,0
1,2,4,10,6,6,0,1,0,0,1
1,2,4,19,6,9,0,1,0,0,1
1,2,4,20,6,9,0,1,0,0,0
1,2,4,21,6,7,0,1,0,0,0
1,2,4,22,6,7,0,1,0,0,0
1,2,4,23,6,6,0,1,0,0,0
1,2,10,23,5,7,0,1,0,0,0
1,2,11,3,6,6,0,1,0,0,0
1,2,11,4,6,5,0,1,0,0,0
1,2,11,5,6,4,0,1,0,0,0
1,2,11,6,6,3,0,1,0,0,0
1,2,11,7,6,4,0,1,0,0,0
1,2,11,8,6,3,0,1,0,0,0
1,2,11,9,6,6,0,1,0,0,1
1,2,11,10,6,8,0,1,0,0,1
1,2,11,21,6,8,0,1,0,0,0
1,2,11,22,6,7,0,1,0,0,0
1,2,11,23,6,6,0,1,0,0,0
1,2,17,2,5,9,0,1,0,0,0
1,2,17,3,5,9,0,1,0,0,0
1,2,19,21,0,6,0,1,0,0,0
1,2,19,22,0,5,0,1,0,0,0
1,2,27,23,1,9,0,1,0,0,0
1,2,28,0,2,8,0,1,0,0,0
1,2,28,4,2,6,0,1,0,0,0
1,2,28,10,2,9,0,1,0,0,1
1,2,5,2,0,6,2,1,0,0,0
1,2,5,3,0,6,2,1,0,0,0
1,2,5,4,0,5,2,1,0,0,0
1,2,6,11,1,10,0,1,0,0,1
1,2,5,20,0,9,0,1,0,0,1
1,2,5,21,0,8,4,1,0,0,0
1,2,27,22,1,9,0,1,0,0,0
1,2,28,9,2,7,0,1,0,0,1
1,2,2,8,4,5,2,1,0,0,0
1,2,2,9,4,5,2,1,0,0,0
1,2,2,11,4,8,2,1,0,0,0
1,2,2,12,4,10,2,1,0,0,0
1,2,2,18,4,10,2,1,0,0,0
1,2,2,21,4,8,2,1,0,0,0
1,2,2,22,4,6,2,1,0,0,0
1,2,3,1,5,4,2,1,1,2,0
1,2,5,22,0,8,4,1,2,3,0
1,2,6,0,1,7,2,1,4,7,0
1,2,6,2,1,6,2,1,4,8,0
1,2,6,3,1,5,0,1,3,5,0
1,2,6,4,1,7,0,1,0,0,0
1,2,6,5,1,6,2,1,0,0,0
1,2,6,6,1,5,0,1,0,0,0
1,2,6,7,1,5,2,1,3,5,0
1,2,6,13,1,13,0,1,5,8,0
1,2,6,14,1,14,0,1,7,16,0
1,2,6,15,1,13,0,1,6,13,0
1,2,6,16,1,13,0,1,0,0,0
1,2,6,17,1,12,4,1,0,0,1
1,2,6,18,1,12,4,1,0,0,1
1,2,6,19,1,10,4,1,0,0,1
1,2,6,20,1,8,4,1,0,0,0
1,2,7,9,2,8,0,1,0,0,1
1,2,15,20,3,12,0,1,0,0,0
1,2,19,14,0,12,0,1,0,0,0
1,2,22,1,3,11,0,1,0,0,0
1,2,27,7,1,10,0,1,0,0,0
1,2,27,17,1,15,0,1,0,0,1
1,2,27,18,1,14,0,1,0,0,1
1,2,27,19,1,12,0,1,0,0,1
1,2,28,15,2,15,0,1,0,0,0
1,2,28,19,2,12,0,1,1,2,1
1,2,2,4,4,7,2,1,3,5,0
1,2,2,5,4,6,2,1,1,2,0
1,2,2,6,4,6,2,1,1,2,0
1,2,2,10,4,7,2,1,1,2,0
1,2,4,9,6,4,0,1,1,2,1
1,2,10,13,5,14,0,1,4,9,0
1,2,10,14,5,14,0,1,8,20,0
